id,question,answer,vector_correct,graph_correct,graph_method,vector_time,graph_time
20,What are some of the guidelines for disciplining a teenager?,"some guidelines for disciplining a teenager include making expectations and rules clear, setting limits, not making rules arbitrarily, understanding that teenagers will mature through trial and error, rewarding constructive behavior, being a role model, being compassionate and patient during discussions, withdrawing privileges as a form of punishment without over-punishing, never using physical or mental torture, not giving in to tantrums or loud behavior, and not allowing guilt to cloud judgment. it's also important to remember that teenagers test the limits and to be compassionate and empathetic, remembering what it was like to be a teenager.",False,False,fallback,0.0453,0.0725
21,What is the purpose of the Virginia Environmental Education Certification program?,"the virginia environmental education certification program sets a statewide standard for exemplary environmental education practice, encourages exploration of environmental education resources, and promotes professional growth. it is relevant for anyone who educates about an aspect of the environment, would like to strengthen their environmental or pedagogical expertise, and is passionate about professionalism in environmental education.",True,True,graph,0.0395,0.0354
22,Who administers the World Heritage List where the Ancient Ohio Earthworks are being nominated?,"the united nations educational, scientific, and cultural organization (unesco) administers the world heritage list.",True,False,graph,0.0207,0.0564
23,When did Pope Benedict XVI announce his resignation?,"pope benedict xvi announced his resignation on february 11, 2013.",True,False,graph,0.0462,0.0432
24,"What is the license under which ""Fat and Not Afraid"" by JeninCanada is licensed?","""fat and not afraid"" by jenincanada is licensed under a creative commons attribution-noncommercial-sharealike 3.0 unported license.",True,False,graph,0.0456,0.0359
25,Who is the designer of this year's Southern Living Idea House?,bunny williams.,False,False,graph,0.0259,0.0376
26,When was the new village hall opened after a 15-year fundraising drive?,the new village hall was opened in 2008.,True,False,graph,0.0219,0.0212
27,Who is the CEO of Franklin Templeton Investments?,the ceo of franklin templeton investments is gregory johnson.,True,True,graph,0.0279,0.0147
28,Can PXI-8512 modules be used to send and receive data with CAN protocol between two PXI 8880 controllers?,"yes, you can use can to share data between your controllers.",True,True,fallback,0.0249,0.0452
29,What is the main conflict in the third book of the Arcana Chronicles by Kresley Cole?,"the main conflict in the third book of the arcana chronicles by kresley cole is that evie has to save jack who is threatened by two of the most horrific arcana, the lovers. to defeat them, evie, jack, and death might have to ally, which could lead to internal conflicts.",True,False,graph,0.0093,0.0327
30,"Who is the soprano featured in duets with Roberto Alagna in the album ""My Life Is An Opera""?","the soprano featured in duets with roberto alagna in the album ""my life is an opera"" is aleksandra kurzak.",True,False,graph,0.0426,0.0309
31,What are the features of the STEM Teacher’s Toolkits provided by CSD Learns?,"the stem teacher’s toolkits provided by csd learns are easy to implement online or in-person, feature deaf and hard of hearing role models, and provide several weeks’ worth of lessons in asl. each free toolkit has videos, interactive activities, quizzes and more.",True,False,graph,0.0345,0.0305
32,Who granted the team access for the photoshoot at Blenheim Palace?,"his grace, the duke of marlborough granted the team access for the photoshoot at blenheim palace.",True,False,graph,0.0364,0.0259
33,"Who are the characters in Wuthering Heights that display a ""diseased mind"" and a ""diseased body""?","the characters in wuthering heights that display a ""diseased mind"" are heathcliff and catherine. heathcliff's mind is ""diseased"" due to his heartbreak and suffering from not being able to be with catherine, which leads him to seek revenge. catherine's mind is also ""diseased"" due to her overwhelming love for heathcliff and the societal pressures that prevent them from being together. the characters that represent the ""diseased body"" are catherine, due to her mental suffering being closely linked with her physical suffering, and isabella, whose body is bruised due to abuse from heathcliff.",True,True,graph,0.024,0.036
34,What are the 5 ways to make your Mum's day special according to the context?,"the 5 ways to make your mum's day special are: 1. spend quality time with her and have a good old chat. 2. go on a road trip together. 3. make her a homemade gift such as a card, art piece, poem, story, movie, photo collage, or a playlist of her favorite songs. 4. do something you love with your mum like dance, yoga, art, cycling. 5. tell her you love her, appreciate all she has done for you and that you value her wisdom.",True,True,graph,0.0353,0.0323
35,What are Dr. Zgarrick's research interests?,"dr. zgarrick's research interests are in pharmacist workforce issues, professional service development, and the use of evidence-based medicine by pharmacists.",True,True,graph,0.0381,0.0266
36,What did Barbara Coombs Lee suggest to help more people die in peace?,barbara coombs lee suggested that to help more people die in peace we need to “redefine the standard of care at end of life.”,True,True,graph,0.0183,0.036
37,What sequence of events led to the tragedy in a Chili's parking lot in Florida?,"the sequence of events began when henry brown hid in his estranged wife's trunk until she left the restaurant. upon leaving the restaurant, chericia was attacked and stabbed multiple times by henry. after the attack, henry changed vehicles and picked up his two children from the babysitter. he then headed to central florida regional hospital in search of his wife, and opened fire on law enforcement and security personnel in an attempt to flee. he was later discovered by police near the seminole-volusia county line. upon closing in to arrest him, they found him as well as his two children dead inside. investigators believe brown killed his children at some point after picking them up, then committed suicide while police prepared to apprehend him. chericia died at the hospital from her injuries.",True,True,graph,0.0414,0.0442
38,What are the main sources of Berlin's total 1992 budget?,"berlin's total 1992 budget comes from 38 percent in subsidies from the german government, 13 percent through new borrowing, and 26 percent through taxes.",True,True,graph,0.032,0.0335
39,"What was the subject of the program given by Suffolk University Law School’s Intellectual Property section on Monday, February 04, 2019?","the subject of the program given by suffolk university law school’s intellectual property section was the public domain, in celebration of the fact that, for the first time in 20 years, works have started to age out of copyright coverage.",True,True,graph,0.0353,0.0716
40,What are some strategies to improve the efficiency and effectiveness of a call center staff?,"some strategies include ensuring customer service representatives understand the products or services they are discussing, creating templatized responses for popular questions, considering an automated answering service, and trying a virtual answering service.",True,True,fallback,0.039,0.0621
41,What is the author planning to reveal on November 2nd for her novel The Newstead Project?,"the author is planning to reveal the cover of her novel the newstead project, the book trailer, and swag.",True,True,graph,0.0524,0.0444
42,"What is a ""foster failure"" in the context of animal rescue?","a ""foster failure"" in the context of animal rescue refers to when animal rescuers end up adopting a dog they initially planned to house on a temporary basis.",True,True,fallback,0.0416,0.1068
43,What are some of the criticisms mentioned about providing iPads to MPs in the House of Commons?,"the criticisms include the high cost of ipads, their unsuitability as office equipment due to the lack of a physical keyboard, limited battery life, lack of support for flash, inability to make phone calls or take pictures, and the need to sync media files through itunes. it is also mentioned that the most affordable model only has wifi and that the ipads would not improve productivity or save paper as intended. the text also criticizes the decision as a waste of taxpayers' money.",True,False,graph,0.056,0.052
44,Where does Thomas Kosmala source his ingredients for his fragrances?,"thomas kosmala sources his ingredients from all over the world, however they are processed at his factory in france.",True,True,graph,0.03,0.0494
45,What is the impact of sleep disturbances on the biological aging of postmenopausal women according to a study?,"according to the study, postmenopausal women with 5 insomnia symptoms were nearly 2 years older biologically than similar women with no insomnia symptoms. the more insomnia symptoms, the greater the effect. however, sleeping only 6 hours a night doesn't seem to increase the epigenetic age if the sleep is restful.",True,True,fallback,0.0673,0.1075
46,What are some of the benefits of becoming a Friend of the theatre?,"some of the benefits of becoming a friend of the theatre include great ticket savings, priority booking, access to a friends hotline, and invitations to special events. additionally, friends make a direct charitable contribution to community, education and artistic programmes through hippodrome projects.",True,True,fallback,0.0586,0.0959
47,"What is the original phrase that was later changed to ""life, liberty, and the pursuit of happiness""?","the original phrase was ""life, liberty, and the pursuit of property.""",False,False,fallback,0.055,0.0708
48,What are some of the recommended dishes at the Dinner Bell at the Wildcatter?,"the recommended dishes at the dinner bell at the wildcatter include steaks, eggrolls, and the blueberry crisp.",False,True,graph,0.0426,0.0705
49,Why does Mauricio Pochettino say he could never coach Barcelona?,mauricio pochettino says he could never coach barcelona because he would feel like a traitor to himself and he believes in remaining true to his own values.,True,True,graph,0.0638,0.0703
