id,doc_id,question,answer
17,17,What is the purpose of recycling concrete in construction?,"Recycling concrete in construction helps in reutilizing the construction waste into new concrete, preserving landfill space, and reducing construction costs."
18,18,What are some features of the Womens Drew Argo Black Smooth Leather sandal?,"The Womens Drew Argo Black Smooth Leather sandal features an adjustable strap, smooth uppers, a double depth thick removable cork footbed with memory foam, a tempered steel shank, and a broad, oblique toe shape."
19,19,What are some of the benefits of joining the SPJ Austin Student Chapter?,"Joining the SPJ Austin Student Chapter gives students opportunities to deepen their journalistic knowledge outside of the classroom, connect with professionals in the industry, and attend various events."
20,20,What are some of the guidelines for disciplining a teenager?,"Some guidelines for disciplining a teenager include making expectations and rules clear, setting limits, not making rules arbitrarily, understanding that teenagers will mature through trial and error, rewarding constructive behavior, being a role model, being compassionate and patient during discussions, withdrawing privileges as a form of punishment without over-punishing, never using physical or mental torture, not giving in to tantrums or loud behavior, and not allowing guilt to cloud judgment. It's also important to remember that teenagers test the limits and to be compassionate and empathetic, remembering what it was like to be a teenager."
21,21,What is the purpose of the Virginia Environmental Education Certification program?,"The Virginia Environmental Education Certification program sets a statewide standard for exemplary environmental education practice, encourages exploration of environmental education resources, and promotes professional growth. It is relevant for anyone who educates about an aspect of the environment, would like to strengthen their environmental or pedagogical expertise, and is passionate about professionalism in environmental education."
22,22,Who administers the World Heritage List where the Ancient Ohio Earthworks are being nominated?,"The United Nations Educational, Scientific, and Cultural Organization (UNESCO) administers the World Heritage List."
23,23,When did Pope Benedict XVI announce his resignation?,"Pope Benedict XVI announced his resignation on February 11, 2013."
24,24,"What is the license under which ""Fat and Not Afraid"" by JeninCanada is licensed?","""Fat and Not Afraid"" by JeninCanada is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
25,25,Who is the designer of this year's Southern Living Idea House?,Bunny Williams.
26,26,When was the new village hall opened after a 15-year fundraising drive?,The new village hall was opened in 2008.
27,27,Who is the CEO of Franklin Templeton Investments?,The CEO of Franklin Templeton Investments is Gregory Johnson.
28,28,Can PXI-8512 modules be used to send and receive data with CAN protocol between two PXI 8880 controllers?,"Yes, you can use CAN to share data between your controllers."
29,29,What is the main conflict in the third book of the Arcana Chronicles by Kresley Cole?,"The main conflict in the third book of the Arcana Chronicles by Kresley Cole is that Evie has to save Jack who is threatened by two of the most horrific Arcana, The Lovers. To defeat them, Evie, Jack, and Death might have to ally, which could lead to internal conflicts."
30,30,"Who is the soprano featured in duets with Roberto Alagna in the album ""My Life Is An Opera""?","The soprano featured in duets with Roberto Alagna in the album ""My Life Is An Opera"" is Aleksandra Kurzak."
31,31,What are the features of the STEM Teacher’s Toolkits provided by CSD Learns?,"The STEM Teacher’s Toolkits provided by CSD Learns are easy to implement online or in-person, feature deaf and hard of hearing role models, and provide several weeks’ worth of lessons in ASL. Each free toolkit has videos, interactive activities, quizzes and more."
32,32,Who granted the team access for the photoshoot at Blenheim Palace?,"His Grace, The Duke of Marlborough granted the team access for the photoshoot at Blenheim Palace."
33,33,"Who are the characters in Wuthering Heights that display a ""diseased mind"" and a ""diseased body""?","The characters in Wuthering Heights that display a ""diseased mind"" are Heathcliff and Catherine. Heathcliff's mind is ""diseased"" due to his heartbreak and suffering from not being able to be with Catherine, which leads him to seek revenge. Catherine's mind is also ""diseased"" due to her overwhelming love for Heathcliff and the societal pressures that prevent them from being together. The characters that represent the ""diseased body"" are Catherine, due to her mental suffering being closely linked with her physical suffering, and Isabella, whose body is bruised due to abuse from Heathcliff."
34,34,What are the 5 ways to make your Mum's day special according to the context?,"The 5 ways to make your Mum's day special are: 1. Spend quality time with her and have a good old chat. 2. Go on a road trip together. 3. Make her a homemade gift such as a card, art piece, poem, story, movie, photo collage, or a playlist of her favorite songs. 4. Do something you love with your Mum like dance, yoga, art, cycling. 5. Tell her you love her, appreciate all she has done for you and that you value her wisdom."
35,35,What are Dr. Zgarrick's research interests?,"Dr. Zgarrick's research interests are in pharmacist workforce issues, professional service development, and the use of evidence-based medicine by pharmacists."
36,36,What did Barbara Coombs Lee suggest to help more people die in peace?,Barbara Coombs Lee suggested that to help more people die in peace we need to “redefine the standard of care at end of life.”
37,37,What sequence of events led to the tragedy in a Chili's parking lot in Florida?,"The sequence of events began when Henry Brown hid in his estranged wife's trunk until she left the restaurant. Upon leaving the restaurant, Chericia was attacked and stabbed multiple times by Henry. After the attack, Henry changed vehicles and picked up his two children from the babysitter. He then headed to Central Florida Regional Hospital in search of his wife, and opened fire on law enforcement and security personnel in an attempt to flee. He was later discovered by police near the Seminole-Volusia county line. Upon closing in to arrest him, they found him as well as his two children dead inside. Investigators believe Brown killed his children at some point after picking them up, then committed suicide while police prepared to apprehend him. Chericia died at the hospital from her injuries."
38,38,What are the main sources of Berlin's total 1992 budget?,"Berlin's total 1992 budget comes from 38 percent in subsidies from the German government, 13 percent through new borrowing, and 26 percent through taxes."
39,39,"What was the subject of the program given by Suffolk University Law School’s Intellectual Property section on Monday, February 04, 2019?","The subject of the program given by Suffolk University Law School’s Intellectual Property section was the public domain, in celebration of the fact that, for the first time in 20 years, works have started to age out of copyright coverage."
40,40,What are some strategies to improve the efficiency and effectiveness of a call center staff?,"Some strategies include ensuring customer service representatives understand the products or services they are discussing, creating templatized responses for popular questions, considering an automated answering service, and trying a virtual answering service."
41,41,What is the author planning to reveal on November 2nd for her novel The Newstead Project?,"The author is planning to reveal the cover of her novel The Newstead Project, the book trailer, and swag."
42,42,"What is a ""foster failure"" in the context of animal rescue?","A ""foster failure"" in the context of animal rescue refers to when animal rescuers end up adopting a dog they initially planned to house on a temporary basis."
43,43,What are some of the criticisms mentioned about providing iPads to MPs in the House of Commons?,"The criticisms include the high cost of iPads, their unsuitability as office equipment due to the lack of a physical keyboard, limited battery life, lack of support for flash, inability to make phone calls or take pictures, and the need to sync media files through iTunes. It is also mentioned that the most affordable model only has WiFi and that the iPads would not improve productivity or save paper as intended. The text also criticizes the decision as a waste of taxpayers' money."
44,44,Where does Thomas Kosmala source his ingredients for his fragrances?,"Thomas Kosmala sources his ingredients from all over the world, however they are processed at his factory in France."
45,45,What is the impact of sleep disturbances on the biological aging of postmenopausal women according to a study?,"According to the study, postmenopausal women with 5 insomnia symptoms were nearly 2 years older biologically than similar women with no insomnia symptoms. The more insomnia symptoms, the greater the effect. However, sleeping only 6 hours a night doesn't seem to increase the epigenetic age if the sleep is restful."
46,46,What are some of the benefits of becoming a Friend of the theatre?,"Some of the benefits of becoming a Friend of the theatre include great ticket savings, priority booking, access to a Friends Hotline, and invitations to special events. Additionally, Friends make a direct charitable contribution to community, education and artistic programmes through Hippodrome Projects."
47,47,"What is the original phrase that was later changed to ""life, liberty, and the pursuit of happiness""?","The original phrase was ""life, liberty, and the pursuit of property."""
48,48,What are some of the recommended dishes at the Dinner Bell at the Wildcatter?,"The recommended dishes at the Dinner Bell at the Wildcatter include steaks, eggrolls, and the blueberry crisp."
49,49,Why does Mauricio Pochettino say he could never coach Barcelona?,Mauricio Pochettino says he could never coach Barcelona because he would feel like a traitor to himself and he believes in remaining true to his own values.
50,50,Who was let go after not responding to an email offering to extend his employment?,Nicholas Allegra.
51,51,What are some features of the Web-tex Northern Ireland Gloves?,"The Web-tex Northern Ireland Gloves are black leather gloves with features such as padded knuckles, knitted cuffs with lining, and are made to military specification. They also have a leather outer and are available in various sizes."
52,52,Who was Aaron Pryor's manager during his boxing career?,"Aaron Pryor's manager was Buddy LaRosa, founder of LaRosa's Pizzeria."
53,53,What are the three main parts of Quality SEO?,"The three main parts of Quality SEO are Structural Optimization, Content Creation, and Link Building."
54,54,What was the purpose of the study conducted by J.L. Hamby in 1995?,The purpose of the study was to compare the Applied Biology/Chemistry (ABC) curriculum taught using the cooperative learning method with the traditional biology curriculum taught using more typical instruction by means of student scores on a standardized biology test and science attitude survey.
55,55,What is suggested as a way to show sisterly love and connection in a unique and stylish manner?,Getting matching tattoos is suggested as a unique and stylish way to show sisterly love and connection.
56,56,What does the name Madigan mean in Irish?,Madigan means “small dog” in Irish.
57,57,What is the author's opinion on the actions of PFC Bradley Manning and Edward Snowden?,"The author does not agree with what Manning and Snowden did in revealing classified information. However, the author respects individuals who act on their convictions despite knowing the consequences. The author believes that Manning, by facing court-martial, may do more to further his views than Snowden, who is trying to avoid the consequences of his actions."
58,58,What was the percentage of income earned by the top 1 percent of Americans in 2007 according to Sanders' claim?,The top 1 percent of all income earners in the United States made 23.5 percent of all income in 2007 according to Sanders' claim.
59,59,What are the four phenomenological constants described by Schön that could form a matrix for reflective practice within interdisciplinary research contexts?,"The four phenomenological constants are: The media, languages, and repertoires that practitioners use to describe reality and conduct experiments; The appreciative systems they bring to problem setting, to the evaluation of inquiry, and to reflective conversation; The overarching theories by which they make sense of phenomena; The role frames within which they set their tasks and through which they bound their institutional settings."
60,60,What does the Advent wreath and its components symbolize in Christian tradition?,"The circle of the Advent wreath, which has no beginning or end, symbolizes the eternity of God. The evergreen base represents God as the foundation of all good, with green symbolizing hope and new life. The four candles represent the four weeks of Advent, with the first two purple candles symbolizing Hope and Love, the third pink candle symbolizing Joy, and the fourth purple candle representing Peace. The light of the candles signifies the light of Christ to mankind."
61,61,Who claimed responsibility for the killing of a father-son duo allegedly for spying?,Anti-talk ULFA which is also known as ULFA (Independent) claimed responsibility for the incident.
62,62,Who is the most followed person on Instagram according to the context?,Selena Gomez is the most followed person on Instagram.
63,63,Who is Karen Stintz and what position is she aiming for in Toronto's municipal government?,"Karen Stintz is a three-term municipal politician representing Eglinton-Lawrence, and chair of the Toronto Transit Commission (TTC). She is aiming for the position of Mayor of Toronto."
64,64,How did the person hang the background paper in the garage?,"The person used C clamps to attach the background paper to the top of the garage door. They used an old bar to hold the roll of paper and the ""c"" part of the two C clamps. Later, they built a piece of wood with holes in it, hung the rolls on a length of PVC pipe, and capped the end. The setup was still held on by C Clamps."
65,65,What did the woman name her baby to compensate for the lack of royalty?,She named the baby Elvis.
66,66,What is the routine of an Early Intervention Specialist/Service Coordinator for babies with developmental delays and/or disorders?,"The routine of an Early Intervention Specialist/Service Coordinator involves receiving a referral from a family, pediatrician, or hospital, usually concerning a developmental issue like speech/language. They call the family, explain the program, gather the child's birth/medical history, and understand the parent's specific concerns. They then discuss the child's behavior and hearing abilities, and explain the importance of a formal hearing exam. They also discuss language development expectations for the child's age. Based on the concerns, they schedule evaluations with a speech therapist and a developmental specialist. They coordinate with several people to find the best time for the evaluation, considering the child's nap schedules, feeding times, and parents' work schedule. They also provide the family with other resources if necessary, such as potty training suggestions, pediatrician recommendations, daycare or childcare options, and help with insurance coverage."
67,67,What was the first job Edwin Koo landed in his professional career?,"Edwin Koo's first job in his professional career was as a photojournalist in local newspapers Streats, and then The Straits Times."
68,68,"What does inclusive growth mean according to Montek Singh Ahluwalia, Deputy Chairman, Planning Commission?","According to Montek Singh Ahluwalia, inclusive growth means much more than poverty reduction. It should factor in issues of equity, both inter-generational and between rich and poor, regional inequities and the needs of minorities."
69,69,"What violation did Iglesia Cristiana Ebenezer of Greenville, TX, licensee of Station KYLP-LP, commit according to the Notice of Apparent Liability for Forfeiture and Order?","Iglesia Cristiana Ebenezer of Greenville, TX, licensee of Station KYLP-LP, violated Section 11.35(a) of the Commission's rules by failing to install Emergency Alert System (EAS) equipment and maintain EAS logs."
70,70,What is the main concern of the individual in the context about their job title?,"The main concern of the individual is that they are labeled as an ""A"" while everyone else is a ""B"". They believe this is due to their lack of participation in meetings and their social anxiety. They worry that one day they might confront their manager about this difference in job title."
71,71,What is the maximum cash offer that the car wreckers in Roleystone can provide for junk cars?,"The maximum cash offer that the car wreckers in Roleystone can provide for junk cars is up to $9,999."
72,72,What was the innovative approach of AUNE's Department of Clinical Psychology when it was launched thirty years ago?,"The innovative approach of AUNE's Department of Clinical Psychology was to educate psychologists as practitioner-scholars, well-rounded clinicians with a broad range of skills and competencies who would be integrated into their communities. This ran counter to the typical doctoral program of the day which trained people in narrow research areas, with an academic rather than practical focus. It put AUNE at the leading edge of an emerging Doctor of Psychology (PsyD) movement which emphasized preparing graduates for clinical practice as a primary focus."
73,73,What are some of the features of the Doro PhoneEasy 618?,"The Doro PhoneEasy 618 has an In Case of Emergency menu where you can list personal and medical information, a LED light that can be used as a flashlight, an FM radio, and a 3.2-megapixel camera with auto-focus, LED flash, and digital zoom. It also allows for text messaging, though the process is a bit cumbersome. However, it lacks the ability to record video and share photos online."
74,74,What are some of the features of the Vegan Oriental Dishes cookbook?,"The Vegan Oriental Dishes cookbook contains 150 healthy oriental dishes including Stir-Fry Dishes, Korean Dishes, Chinese Dishes, Thai Dishes, Japanese Dishes, and Filipino Dishes. It is Cholesterol-Free, High in Fiber, High in Omega-3, and High in Soy. The cookbook contains No Eggs, No Dairy, No MSG and No Animal Products. It also provides simple and easy recipes that use healthy ingredients."
75,75,"What is the main theme of the book ""The Healing Power of the Sacred Woman""?","The main theme of the book ""The Healing Power of the Sacred Woman"" is to remind women to reconnect to the potent and creative energy of Mother Earth, which gives power to the intuitive voice of the heart and nurtures new seeds of inspiration and enlightenment through the womb. It emphasizes that a woman's purpose is to give birth not only to new life but also to new levels of consciousness."
76,76,Who has granted a 5 year lease on the C.S.M. Memorial Ground to the rugby club?,The Camborne School of Mines Trustees have granted a 5 year lease on the C.S.M. Memorial Ground to the rugby club.
77,77,What is the advice given to hosts who serve alcohol at their parties according to the New York Insurance Association?,The New York Insurance Association advises hosts who serve alcohol to take steps to limit their liquor liability and make sure they have the proper insurance. They also need to be particularly careful as they can be held legally responsible for their guests' actions after they leave the party.
78,78,"What is the concern of the husband of the person who wrote the message on July 10, 2011?",The husband is very concerned about the possible health hazard posed by smart meter.
79,79,When and where was UFC 142 held?,UFC 142 was held in Brazil on Jan. 14.
80,80,What is the philosophy that Texan stores live by?,"The philosophy that Texan stores live by is about Giving, Inspiring and Growing."
81,81,What were the key findings of the research published in the online journal Scientific Reports regarding recreational drugs?,"The key findings of the research published in the online journal Scientific Reports were that marijuana is far safer than alcohol, with alcohol being the most dangerous of the group and 114 times more deadly than marijuana. The study also suggested that the ill effects of cannabis may have been overestimated in the past, while dangers linked to alcohol have been commonly underestimated."
82,82,Who owned the land where the Bell and Gemmell tannery was located?,The land where the Bell and Gemmell tannery was located was owned by John Buchanan.
83,83,What were the responsibilities of the dons in the residence?,"The dons were upper-year students who lived in residence as well. They were there to deal with problems that arose after the residence staff left for the day. They had keys to all the houses and the residence offices in case someone lost theirs. They had first aid training in case of medical emergencies and they had some counseling training to help students deal with the inevitable conflicts that come from young people living together. If a student had a problem, whether it was with school or with someone they lived with, they could go and see their don. If the dons couldn't help, they could point the student in the direction of someone who could."
84,84,What items does the person carry in her purse for her toddler?,"The person carries snacks, Honest Diapers, a grocery bag, water, lip balm, hair ties, sunglasses, travel size Honest Wipes, antibacterial spray, a travel bib, and bright lipstick in her purse for her toddler."
85,85,What is the two-step secret to making money on Ebay according to the context?,"The two-step secret to making money on Ebay is to first waste your money on a lot of things that you don't really need and then a year later, sell those things on Ebay."
86,86,What are some of the functions of barstools counter stools on sale ivory swivel mentioned in the context?,"The barstools counter stools on sale ivory swivel serve as a place for feet, a place to sit, a coffee table, a cocktail table, a table at the corner of the room, and a place to store goods."
87,87,Who provided a safe place for the displaced residents after the fire disaster at the Whittier Co-op apartment building in Minneapolis?,Matt Gresham and other members of the Calvary Church provided a safe place for the displaced residents after the fire disaster.
88,88,Who is the executive producer of the Angel & Faith Season Ten comic book series?,Joss Whedon is the executive producer of the Angel & Faith Season Ten comic book series.
89,89,What strategy did General Electric use to connect with consumers through Vine?,"General Electric used a number of corporate campaigns to humanize their brand. They used visuals, color, depth and motion to make science fun, which helped illustrate company culture and made it easier for consumers to connect with the company."
90,90,What are some of the main ingredients used in the composition of lip gloss?,"Some main materials used in every type of lip gloss include emollients like jojoba oil, coconut oil, and vitamin E, or synthetic oils. Another essential component in lip gloss is thickeners like clays and waxes, which can be either natural or synthetic. Lip gloss also contains coloring agents, which can be either natural materials like fruit extracts or chemical dyes. Glittery lip gloss products even depend on ingredients like mica and iron oxide. Other ingredients can include sunscreen for UV products, sweeteners for flavored lip gloss, and paraben-based preservatives to help them stay fresh for longer."
91,91,What are some of the places where you can get excellent pork belly in Koreatown?,"Some of the places where you can get excellent pork belly in Koreatown include O Dae San, Jun Won, Honey Pig, Don Dae Gam, Dwit Gol Mok, and Dan Sung Sa."
92,92,What improvements were observed in the adolescent with ASD after the administration of the 'Mirtazapine-Galantamine cocktail'?,"The 'Mirtazapine-Galantamine cocktail' brought about a significant improvement in the behavioral domains of the adolescent with ASD. Sleep improved markedly, irritability diminished significantly, sexual behaviors were greatly tamed, and both frequency and severity of aggression became obviously less. Additionally, hyperactivity noticeably decreased, better eye contact, vocalizations, gestures and social relatedness were observed."
93,93,What are the key areas of responsibility for METRO SUSTAINABLE in supporting the United Nations Sustainable Development Goals (SDGs)?,"The key areas of responsibility for METRO SUSTAINABLE in supporting the United Nations Sustainable Development Goals (SDGs) are (Empower) People, (Secure) Planet, (Unfold) Prosperity and (Enhance) Partnerships. They are most directly involved in the goals 2 (Zero Hunger), 8 (Decent Work and Economic Growth), 12 (Responsible Consumption and Production), 13 (Climate Action) and 17 (Partnerships for the Goals)."
94,94,What are some of the programs that EATS offers where one can volunteer?,"Some of the programs that EATS offers where one can volunteer include Cooking Classes, School Gardens, Events, and Consultation."
95,95,"Who is the main character in Fox's new crime drama, The Following, and what is his background?","The main character in Fox's new crime drama, The Following, is Ryan Hardy, a mostly disgraced FBI agent turned true crime author. In a former life, Hardy single-handedly took down the season’s notorious serial killer, Joe Carroll, but now spends most of his time drinking and scowling. When Carroll escapes from prison, the FBI puts Hardy back into action as the one man who knows Carroll above all."
96,96,What are the steps to apply for a real estate license through eAccessNY?,"The steps to apply for a real estate license through eAccessNY are: 1) Log in to your eAccessNY account and click on ""Apply for Initial Salesperson License (qualifying by Exam only)"", which is located on the Main Menu page. 2) Click ""Next Step"" to continue. 3) Enter your details and click ""Next Step"" to continue. 4) Enter your sponsoring broker's license number (UID#). 5) Find the correct broker license that matches the company name and address. Select that office by clicking on the circle in front of the desired office and address. Then click ""Next Step"" to continue. 6) Enter all required information and click ""Next Step"" to continue. 7) Enter the name of the school where you completed the 75-hour NYS real estate salespersons course by using the drop-down menu, and enter your completion date for the course. Then click ""Next Step"" to continue. 8) Affirm the application by clicking the ""I Agree"" box at the bottom of the page and click ""Next Step"" to continue. 9) Enter your credit card details and click ""Submit"". 10) Print the ""Summary of Your Submission"" page. 11) Click 'Return to Main Menu"". Once your application is submitted, your sponsoring broker will have to log in to their own eAccessNY account and authorize your application."
97,97,What are some trendy short hairstyles for fall?,"Some trendy short hairstyles for fall include a short bob for women with curly hair, a short straight hairstyle that suits many face shapes, a light blonde pixie haircut, a classic bob haircut, a straight short bob with the same length, a playful layered razor cut, a casual short hairstyle, a trendy short pixie hairstyle, a short pixie mohawk, a razor cut mingled with a clipper cut, an asymmetrical layered cut, and a simple pixie hairstyle."
98,98,What changes are being made to the storage AM according to Haribabu Kommi's email?,"Haribabu Kommi is making several changes to the storage AM. These include adding support for the storage method to create as part of create access method syntax, adding necessary storage AM API hooks to support pluggable storage API, adding the storageAm routine pointer to relation structure, moving tuple visibility functions into heap storage AM, adding slot specific storage AM routine pointer to slot structure, adding write support functionality to storage AM, and adding all scan supported functions to storage AM. He also mentions that this patch may need further changes as it assumes the tuple is in HeapTuple format in some APIs."
99,99,What does the registration for WindyCityRails 2015 include?,"The registration for WindyCityRails 2015 includes access to all sessions, plus continental breakfast, lunch, and snacks on both days."
100,100,How did Ross and Kacy's relationship evolve over time?,"Ross and Kacy first met at work and were attracted to each other, but they remained friends for about three years. They spent time together playing volleyball, taking trips, talking on the phone, and hanging out with mutual friends. Ross moved to south Florida for work, but they continued to speak every month. During this time, both of them grew closer to God. They reconnected in March 2012 and realized that they were meant to be together. Ross proposed to Kacy over the holidays and they planned to have a short engagement."
101,101,"What are some of the careers that graduates from the School of Communications, Media, Arts and Design have achieved?","Graduates from the School of Communications, Media, Arts and Design have achieved careers in their field, including delivering news content, making headlines for their great work, hosting their own shows, interviewing A-list celebrities, co-hosting big events, working as TV news reporters and news anchors."
102,102,What was Émile Talbot's area of specialization and what languages could he read?,"Émile Talbot's areas of specialization included Québec literature, especially poetry and fiction, nineteenth- and early twentieth-century French literature, especially Stendhal; lyric poetry; the history of aesthetic and critical theory; and French intellectual history. He could read Italian, Spanish, German, Medieval Latin, Portuguese, and Classical Greek."
103,103,What is the ideal range of carbon content in steel for sword making?,"The ideal range of carbon content in steel for sword making is around .6 percent. This can vary a bit, from .5 percent to as much as 1 percent carbon in the steel. This percentage change can depend on whether the steel has other elements included such as vanadium, manganese, or chromium."
104,104,What are some of the popular student organizations at UW Whitewater?,"Some of the popular student organizations at UW Whitewater include Pan Hellenic Council, Sigma Alpha Lambda (Academic Honors), Cru (Faith-Related Organization) and National Society of Leadership and Success."
105,105,"What are the ingredients needed to bake Rieska, the Finnish bread?","The ingredients needed to bake Rieska are 1/2 cup old fashioned rolled oats, 1 cup dark or light rye flour, or pumpernickel flour, 1 cup unbleached all-purpose flour, 2 teaspoons baking powder, 1/2 teaspoon baking soda, 1 teaspoon salt, 2 tablespoons sugar, 4 tablespoons unsalted butter, and 1 1/2 cups buttermilk."
106,106,What was the one condition Mitch Hurwitz imposed on watching the new season of Arrested Development?,You gotta watch them in order.
107,107,What is the term used to describe roleplaying as a babyfur character?,"The term used to describe roleplaying as a babyfur character is ""Cubbing Out""."
108,108,What was the solution to transfer the group ownership from the original creator to the company?,"The original group creator logged in and changed her name to the company's name, changed her picture and email and password to the company's also. She then opened a new account for her personal use."
109,109,What is the unique plant that Langela found in the nursery?,"The unique plant that Langela found in the nursery is called Dognip, also referred to as the dognip variety Genus Golden Labradoris."
110,110,Why is the Fairport Public Library moving to a new location?,"The Fairport Public Library is moving to a new location because its current home is undergoing renovations that were approved by voters. These renovations include new entrances, better lighting, new carpeting, and changes that will allow roomier space for programs."
111,111,What amenities are available at the Pinnacle Point Golf Estate accommodation?,"The Pinnacle Point Golf Estate accommodation offers amenities such as Wi-Fi, a swimming pool, a Braai/Barbecue, and on-site parking."
112,112,What is the battery life of the Y70 according to the MobileMark's Office Productivity Test?,The Y70 scored 4.5 hours of battery life on MobileMark's Office Productivity Test.
113,113,Why can Spanish prosecutors investigate the complaint filed by the sister of a Syrian man who was allegedly tortured to death in a detention center in Damascus in 2013?,"Under Spanish law, Spanish prosecutors can investigate the complaint because Mrs AH is a Spanish national, a precedent that has previously been used to investigate crimes committed by state actors in Latin America during the Cold War."
114,114,What challenges did the Ananda Meditation Group face in its first year?,"The Ananda Meditation Group faced several challenges in its first year. Initially, they struggled to find a suitable venue for the rapidly growing group. They also experienced a decrease in enthusiasm among some members, leading to a drop in attendance. Some members were uncomfortable with the meetings focusing more on devotion to their line of gurus. The group leader was frequently away due to personal reasons, and the person left in charge broke her leg, causing further disruption. Despite these challenges, they managed to maintain a steady stream of energy and celebrated their first anniversary with a Discipleship Ceremony."
115,115,How long has the user 'ihaveablog' been a member for?,"6 years, 4 months, 11 days, 7 hours, 53 minutes and 37 seconds."
116,116,What are some of the hotels available for booking in Melbourne and their respective prices for a night's stay?,"Some of the hotels available for booking in Melbourne include Batman's Hill for £53 a night, The Jasper for £56 a night, Vibe Savoy for £60 a night, Rendezvous Hotel for £67 a night, Crown Hotels for £80 a night, Grand Hyatt for £109 a night, and Novotel in St Kilda for £65 a night."
117,117,"Who was set to receive Pope Benedict XVI in Istanbul on November 29-30, 2006?","His All Holiness Ecumenical Patriarch Bartholomew was set to receive Pope Benedict XVI in Istanbul on November 29-30, 2006."
118,118,What is the Toronto Alternative Art Fair International also known as?,The Toronto Alternative Art Fair International is also known as TAAFI.
119,119,Who does the character Liz read about to her unborn child in the episode?,Liz reads about Dorothy from the Wizard of Oz to her unborn child in the episode.
120,120,What awards did Mr. Vengsarkar receive during his cricket career?,"Mr. Vengsarkar received the Arjuna Award in 1981, the Padma Shri award in 1987, and was named one of the Wisden cricketers of the year in 1987."
121,121,What was the concern raised during the development of the legislation regarding tourism and its impact on the Asian market?,"The concern raised during the development of the legislation was about its potential impact on tourism and the Asian market. However, post legislation, there was no impact."
